Date,Open,High,Low,Close,Volume
7-Jul-17,115.41,115.66,114.83,115.51,3972488
6-Jul-17,114.97,115.42,114.85,115.13,4006999
5-Jul-17,115.50,115.55,114.88,115.30,4023052
3-Jul-17,115.55,116.00,115.34,115.44,2250824
30-Jun-17,115.53,116.11,115.30,115.49,3313250
29-Jun-17,116.07,116.20,114.89,115.18,3474360
28-Jun-17,116.52,116.87,116.20,116.38,3110592
27-Jun-17,117.24,117.38,115.94,115.94,2884276
26-Jun-17,117.42,117.83,117.06,117.12,2704461
23-Jun-17,116.21,117.37,116.09,116.96,3453406
22-Jun-17,117.33,117.41,116.05,116.15,3288149
21-Jun-17,117.78,118.24,117.24,117.42,3767106
20-Jun-17,117.29,118.14,117.18,117.95,3703498
19-Jun-17,117.02,117.29,116.23,117.29,2436611
16-Jun-17,117.37,117.40,116.30,116.86,5156209
15-Jun-17,117.00,117.48,116.51,117.21,3372664
14-Jun-17,116.91,118.06,116.83,117.37,3597242
13-Jun-17,115.47,116.59,115.47,116.32,2760749
12-Jun-17,116.23,116.62,115.92,116.23,3492098
9-Jun-17,115.66,116.13,115.36,115.94,3197723
8-Jun-17,116.86,117.08,115.59,115.89,3956710
7-Jun-17,117.17,117.57,116.82,117.05,3681102
6-Jun-17,117.78,117.94,117.46,117.70,2643156
5-Jun-17,117.39,117.97,117.05,117.88,2969490
2-Jun-17,117.46,117.70,117.04,117.67,3162869
1-Jun-17,116.80,117.26,116.06,117.23,4404853
31-May-17,116.91,117.94,116.87,116.87,5232886
30-May-17,117.74,118.12,117.50,118.01,3231598
26-May-17,117.25,118.00,117.20,117.91,3104759
25-May-17,116.36,117.68,116.15,117.53,3596188
24-May-17,115.31,116.33,115.12,116.06,2863357
23-May-17,114.71,115.44,114.71,115.05,3261263
22-May-17,113.69,115.00,113.69,114.70,3323959
19-May-17,114.17,114.50,113.46,113.69,5750075
18-May-17,113.78,114.28,113.29,114.03,3439503
17-May-17,113.46,114.29,113.32,113.74,2999270
16-May-17,114.06,114.66,113.59,113.79,2444255
15-May-17,112.90,114.00,112.77,113.94,3500274
12-May-17,112.93,113.30,112.72,112.91,2383496
11-May-17,112.64,113.09,112.53,113.04,2277166
10-May-17,112.70,112.87,112.48,112.84,2160149
9-May-17,113.24,113.41,112.55,112.72,2708153
8-May-17,113.20,113.43,112.78,113.22,3097181
5-May-17,113.04,113.28,112.74,113.22,3046064
4-May-17,112.17,113.00,111.81,112.96,3488798
3-May-17,112.39,112.71,111.70,111.79,3342585
2-May-17,112.75,112.89,112.07,112.29,3082363
