Date,Open,High,Low,Close,Volume
7-Jul-17,142.65,143.38,141.83,142.43,8046241
6-Jul-17,143.01,143.62,141.83,142.20,11934243
5-Jul-17,141.16,145.00,140.33,144.87,16995802
3-Jul-17,141.75,142.49,139.50,140.99,6975712
30-Jun-17,141.03,142.38,139.92,140.90,12276690
29-Jun-17,143.16,143.56,137.52,140.81,24130279
28-Jun-17,142.65,144.37,141.48,143.95,17759787
27-Jun-17,143.90,144.38,141.10,141.53,17374776
26-Jun-17,144.03,145.36,141.27,142.73,17828140
23-Jun-17,142.10,143.34,141.60,143.01,11759007
22-Jun-17,142.05,144.68,140.88,142.27,21897597
21-Jun-17,138.82,143.50,138.02,143.29,30911557
20-Jun-17,140.08,140.63,137.93,138.38,20580535
19-Jun-17,137.81,140.40,137.40,139.47,24951612
16-Jun-17,136.28,136.50,133.55,134.87,36431311
15-Jun-17,135.64,135.67,133.10,135.08,30510350
14-Jun-17,137.80,139.25,135.26,136.67,32862037
13-Jun-17,141.88,142.24,135.90,136.60,40879593
12-Jun-17,139.17,142.20,136.05,139.08,32177599
9-Jun-17,144.57,148.29,137.01,139.44,54367382
8-Jun-17,142.51,143.70,135.21,142.34,81381531
7-Jun-17,125.08,125.91,124.11,125.64,9431588
6-Jun-17,125.61,126.20,124.27,124.62,9257144
5-Jun-17,124.02,125.56,123.87,125.37,10030644
2-Jun-17,123.72,124.53,123.24,124.13,7342128
1-Jun-17,122.82,124.00,122.26,123.97,8901367
31-May-17,123.64,124.18,122.00,122.46,11582152
30-May-17,124.08,124.88,123.53,123.91,8343401
26-May-17,123.93,124.65,123.10,123.99,7558893
25-May-17,123.74,124.45,122.31,123.63,12486528
24-May-17,123.07,123.68,121.95,122.81,8376742
23-May-17,124.67,125.68,122.85,122.93,14370124
22-May-17,124.98,125.59,123.56,124.75,13493167
19-May-17,123.96,126.40,123.07,123.22,21101695
18-May-17,116.31,122.63,114.00,121.27,37121943
17-May-17,123.25,123.89,120.50,120.72,19834651
16-May-17,121.98,124.34,121.74,124.02,18222134
15-May-17,121.03,121.49,120.03,121.40,11125450
12-May-17,120.37,120.47,119.51,120.34,9823899
11-May-17,120.13,120.50,118.25,120.16,11375510
10-May-17,120.01,120.33,119.10,119.98,9347289
9-May-17,118.62,120.00,118.07,120.00,15219945
8-May-17,116.90,117.51,116.20,116.86,6461932
5-May-17,116.05,116.15,114.80,116.04,7099447
4-May-17,115.94,116.41,115.15,115.86,6977804
3-May-17,117.95,118.00,115.12,116.57,10591095
2-May-17,117.07,118.69,117.00,118.09,10048174
1-May-17,115.63,117.24,115.50,116.68,7332129
28-Apr-17,115.90,115.99,115.00,115.50,6984928
27-Apr-17,115.00,115.96,114.83,115.43,9441465
26-Apr-17,115.37,115.75,114.62,114.97,6678780
25-Apr-17,115.54,115.82,114.80,115.48,11434602
24-Apr-17,114.04,115.16,114.02,114.86,13386574
21-Apr-17,112.80,113.17,112.30,113.11,8968296
20-Apr-17,111.53,113.60,111.48,112.96,13773519
19-Apr-17,111.99,112.20,110.57,110.76,9603782
18-Apr-17,111.20,112.20,110.87,111.23,8305129
17-Apr-17,110.91,111.87,110.30,111.76,7128051
13-Apr-17,110.72,111.45,109.82,110.21,6857001
12-Apr-17,110.50,111.70,110.31,110.63,8099810
11-Apr-17,111.40,111.79,109.46,110.44,10012135
10-Apr-17,109.00,111.88,108.84,111.70,14798611
7-Apr-17,107.88,109.07,106.76,108.99,8354942
6-Apr-17,107.59,108.42,107.15,108.04,5211109
5-Apr-17,108.36,108.82,107.32,107.44,8205387
4-Apr-17,107.87,108.26,106.88,107.52,6480113
3-Apr-17,108.85,109.47,107.52,108.09,8391448
31-Mar-17,108.50,109.12,107.78,107.83,9002786
30-Mar-17,109.73,110.45,108.66,108.85,10592470
29-Mar-17,107.97,109.74,107.69,109.51,8788720
28-Mar-17,108.23,108.95,107.46,107.80,6472004
27-Mar-17,106.65,108.19,106.51,108.08,7709376
24-Mar-17,108.40,109.13,107.23,108.04,7578379
23-Mar-17,106.95,108.83,106.44,108.25,13410771
22-Mar-17,104.64,106.12,103.98,106.09,7153035
21-Mar-17,108.46,108.70,104.70,105.09,13877719
20-Mar-17,106.23,108.20,105.94,107.25,12447932
17-Mar-17,105.17,106.50,104.86,105.61,8778885
16-Mar-17,105.25,105.65,104.30,105.63,12445226
15-Mar-17,104.37,104.49,102.60,103.69,11695195
14-Mar-17,104.61,106.00,103.82,104.25,7748369
13-Mar-17,103.52,106.25,103.47,105.18,16118945
10-Mar-17,103.43,103.70,102.63,103.39,4120725
9-Mar-17,102.97,103.75,102.76,103.24,4523635
8-Mar-17,102.63,104.29,102.54,103.22,7066707
7-Mar-17,102.30,103.31,102.11,102.63,4985200
6-Mar-17,102.76,103.25,102.10,102.31,6290674
3-Mar-17,102.99,103.42,102.44,103.31,6320936
2-Mar-17,103.80,104.58,102.77,103.19,7983012
1-Mar-17,103.68,104.99,103.21,104.04,10331843
28-Feb-17,103.89,103.99,102.03,102.90,8017478
27-Feb-17,102.50,103.82,102.22,103.60,6865880
24-Feb-17,101.39,103.00,101.30,102.95,7356558
23-Feb-17,104.72,104.86,101.82,102.46,10095637
22-Feb-17,102.48,105.20,102.42,104.20,15779442
21-Feb-17,101.03,102.54,100.91,102.12,8189639
17-Feb-17,100.69,101.73,100.30,100.52,8258244
16-Feb-17,101.86,102.10,100.50,100.82,7464034
15-Feb-17,102.06,102.13,100.11,101.55,12384440
14-Feb-17,103.14,103.60,100.90,101.59,10240705
13-Feb-17,102.82,104.44,102.62,103.10,9728978
10-Feb-17,103.88,103.94,102.31,102.36,7680312
9-Feb-17,103.32,104.18,102.56,103.34,8435817
8-Feb-17,101.55,103.99,101.16,103.57,10178465
7-Feb-17,101.04,101.60,100.50,100.83,5655631
6-Feb-17,100.17,101.71,100.02,100.90,6866702
3-Feb-17,101.50,101.56,100.30,100.39,6197622
2-Feb-17,101.28,101.47,100.56,100.84,5371631
1-Feb-17,102.07,102.38,100.87,101.57,5736373
31-Jan-17,100.24,102.09,100.06,101.31,7530026
30-Jan-17,101.20,101.46,100.09,101.02,8619760
27-Jan-17,102.25,102.70,101.29,102.07,8031012
26-Jan-17,103.92,104.57,102.17,102.75,12504773
25-Jan-17,102.46,104.27,101.90,104.06,23322771
24-Jan-17,103.15,103.19,99.94,101.43,37181541
23-Jan-17,96.48,98.67,96.26,98.41,14090338
20-Jan-17,96.45,97.15,95.67,96.06,9685787
19-Jan-17,96.42,96.70,95.58,96.17,7089962
18-Jan-17,96.27,96.27,95.26,96.00,6610650
17-Jan-17,96.32,96.59,95.00,96.12,6342427
13-Jan-17,95.95,97.38,95.76,96.27,10701089
12-Jan-17,96.85,96.85,94.80,95.90,8424702
11-Jan-17,96.92,97.45,95.60,96.94,8735888
10-Jan-17,96.40,97.90,95.55,96.75,14780567
9-Jan-17,94.16,95.65,93.31,94.72,10829512
6-Jan-17,94.40,94.50,93.00,93.89,7639786
5-Jan-17,91.91,94.81,91.64,94.37,16821545
4-Jan-17,88.98,90.89,88.58,90.51,11490165
3-Jan-17,89.00,89.00,88.08,88.60,8789386
30-Dec-16,87.57,88.10,87.20,87.81,7211060
29-Dec-16,87.82,88.20,87.16,87.33,5467104
28-Dec-16,88.30,88.75,87.22,87.37,6421078
27-Dec-16,86.72,87.94,86.71,87.54,5228010
23-Dec-16,86.62,87.68,86.62,86.79,6360165
22-Dec-16,87.89,88.26,86.01,86.80,14404521
21-Dec-16,89.96,90.43,89.25,89.25,9044867
20-Dec-16,89.19,90.31,88.94,89.84,8434744
19-Dec-16,88.61,89.82,88.41,88.93,10226275
16-Dec-16,89.00,90.10,88.56,88.67,11341520
15-Dec-16,90.00,90.60,88.74,88.85,19215542
14-Dec-16,91.83,92.26,90.83,91.19,9153726
13-Dec-16,92.80,93.73,91.87,92.16,10491316
12-Dec-16,92.05,92.89,91.70,92.47,9355867
9-Dec-16,92.51,93.64,92.28,93.28,9177566
8-Dec-16,91.80,93.08,91.03,92.31,10919524
7-Dec-16,90.52,91.65,89.50,91.07,13240009
6-Dec-16,91.56,91.93,89.96,90.40,7787821
5-Dec-16,90.05,91.40,89.57,90.99,8902646
2-Dec-16,90.38,91.74,89.95,90.48,11718827
1-Dec-16,94.00,94.06,89.18,89.86,24030681
30-Nov-16,95.28,95.48,93.30,94.02,11447742
29-Nov-16,93.67,96.06,93.39,94.99,14146870
28-Nov-16,93.02,95.74,93.00,93.76,14340055
25-Nov-16,93.55,93.75,92.77,93.01,4868511
23-Nov-16,92.53,93.40,91.45,93.03,11743806
22-Nov-16,94.24,94.42,93.16,93.21,10403624
21-Nov-16,94.05,94.66,93.00,93.41,8960045
18-Nov-16,94.85,95.30,92.67,93.39,10032576
17-Nov-16,94.71,94.98,93.64,94.07,10372795
16-Nov-16,91.39,93.68,91.33,92.86,14079662
15-Nov-16,91.00,93.49,90.75,91.00,16722956
14-Nov-16,92.45,92.54,87.88,89.77,27356192
11-Nov-16,93.86,94.09,91.10,92.99,23725758
10-Nov-16,98.34,98.50,92.22,94.34,27346656
9-Nov-16,97.38,98.58,95.80,96.67,20948039
8-Nov-16,99.39,99.99,98.36,99.85,8091111
7-Nov-16,100.07,100.62,99.16,99.35,11198343
4-Nov-16,96.90,98.79,96.67,97.57,9048524
3-Nov-16,98.04,99.30,96.46,97.75,17412642
2-Nov-16,103.85,104.10,97.30,98.51,37066972
1-Nov-16,100.43,101.24,99.21,101.15,21287287
31-Oct-16,102.65,103.21,101.42,101.69,15837901
28-Oct-16,102.35,103.05,101.55,101.93,8479491
27-Oct-16,103.38,104.11,101.85,102.38,8807090
26-Oct-16,103.68,104.00,102.70,102.78,7579847
25-Oct-16,104.86,105.20,104.02,104.22,8985668
24-Oct-16,104.98,105.30,103.55,104.50,10898833
21-Oct-16,103.70,103.94,102.75,103.94,8073095
20-Oct-16,104.20,104.74,103.57,103.85,7109782
19-Oct-16,104.33,104.80,103.65,103.93,8918931
18-Oct-16,104.47,104.99,103.31,103.34,11107198
17-Oct-16,101.50,103.47,101.27,102.84,10351713
14-Oct-16,104.27,104.70,101.03,101.85,12789498
13-Oct-16,102.06,102.55,99.00,102.15,22389979
12-Oct-16,105.05,105.11,101.82,103.62,18434983
11-Oct-16,107.89,107.97,104.75,105.23,14916564
10-Oct-16,106.79,109.00,106.56,108.41,11516628
7-Oct-16,106.89,107.55,105.56,106.00,8954371
6-Oct-16,107.30,107.51,106.18,107.08,9885558
5-Oct-16,105.87,107.45,105.66,106.96,13176546
4-Oct-16,105.93,106.23,105.05,105.45,11068841
3-Oct-16,105.45,106.29,104.98,105.38,10849473
30-Sep-16,106.50,107.10,105.79,105.79,15577503
29-Sep-16,106.51,106.69,104.57,105.55,30236671
28-Sep-16,108.44,109.87,107.16,108.75,16371600
27-Sep-16,106.52,108.49,106.37,108.26,17556710
26-Sep-16,106.52,107.06,105.30,105.89,16805335
23-Sep-16,108.25,108.40,106.71,107.71,23082976
22-Sep-16,107.57,109.76,107.48,109.36,35627728
21-Sep-16,102.46,106.19,102.21,106.00,22997062
20-Sep-16,102.94,103.73,100.93,101.45,12863809
19-Sep-16,105.16,105.50,102.20,103.03,15234574
16-Sep-16,104.00,105.39,103.86,104.64,20363471
15-Sep-16,102.62,104.48,102.53,104.45,20841027
14-Sep-16,100.08,102.59,100.02,102.40,19604724
13-Sep-16,100.38,101.49,98.84,100.28,20004920
12-Sep-16,97.38,101.38,97.00,100.80,17318186
9-Sep-16,101.80,102.21,99.05,99.62,21250414
8-Sep-16,101.93,103.78,101.63,102.57,15475494
7-Sep-16,103.84,104.00,102.26,102.32,15758762
6-Sep-16,100.45,104.30,100.45,103.78,32803767
2-Sep-16,97.97,99.66,97.97,99.25,17482617
1-Sep-16,97.30,98.00,97.01,97.42,13387366
31-Aug-16,96.14,97.20,96.01,97.19,28617010
30-Aug-16,95.35,96.68,95.17,96.00,13994246
29-Aug-16,94.60,95.16,94.21,94.88,8818346
26-Aug-16,94.15,95.45,94.08,95.06,14133920
25-Aug-16,93.75,94.69,93.12,93.94,13039874
24-Aug-16,95.68,96.30,93.56,93.88,12726565
23-Aug-16,95.59,96.48,95.41,95.79,9646830
22-Aug-16,96.47,96.63,94.75,95.65,16222875
19-Aug-16,96.91,97.24,96.34,96.86,14267089
18-Aug-16,97.25,97.94,96.62,97.00,15009049
17-Aug-16,96.17,97.25,96.05,97.00,14980944
16-Aug-16,96.15,97.15,95.05,96.66,27513961
15-Aug-16,98.28,98.86,96.82,97.17,33813431
12-Aug-16,92.98,98.35,92.91,98.25,71968347
11-Aug-16,92.14,92.80,91.26,91.77,54169169
10-Aug-16,86.01,87.73,86.01,87.33,28195881
9-Aug-16,85.05,85.63,84.80,85.24,15349237
8-Aug-16,84.99,85.02,84.30,85.00,11528244
5-Aug-16,85.01,85.08,84.44,84.59,9401657
4-Aug-16,83.75,84.98,83.69,84.75,10731563
3-Aug-16,83.30,83.84,83.17,83.67,5365813
2-Aug-16,84.34,84.34,82.91,83.80,7691627
1-Aug-16,82.79,84.80,82.59,84.34,13401193
29-Jul-16,83.37,83.42,81.94,82.48,8709279
28-Jul-16,83.46,83.49,82.12,83.12,7476531
27-Jul-16,83.60,83.64,83.00,83.10,11628979
26-Jul-16,82.86,83.63,82.63,83.59,7714661
25-Jul-16,84.47,84.79,82.61,83.19,13185912
22-Jul-16,84.00,84.50,83.81,84.49,5988370
21-Jul-16,84.71,85.00,83.66,84.18,10192080
20-Jul-16,83.27,84.70,83.23,84.42,13990957
19-Jul-16,82.48,83.69,82.05,82.77,9799375
18-Jul-16,80.60,82.79,80.60,82.65,12113575
15-Jul-16,81.78,82.49,80.96,81.25,8919868
14-Jul-16,81.18,82.24,80.86,81.74,9361454
13-Jul-16,81.83,81.88,80.37,80.57,10739182
12-Jul-16,81.79,82.88,81.51,81.74,15294115
11-Jul-16,79.33,81.90,79.24,81.46,17417457
